name,description,arguments,tool,category,agentId,agentName,task
Show me the first 20 contacts in the CRM,Fetch a paginated list of contacts from FluentCRM.,"[{""page"": 1, ""per_page"": 20}]",fluentcrm_list_contacts,Contacts,agt_001_con,Contact Manager,Lookup
Find all contacts matching "john",Search contacts by name or email keyword.,"[{""search"": ""john"", ""per_page"": 50}]",fluentcrm_list_contacts,Contacts,agt_001_con,Contact Manager,Search
Get full details for contact ID 123,Retrieve all fields for a single contact by their subscriber ID.,"[{""subscriberId"": 123}]",fluentcrm_get_contact,Contacts,agt_001_con,Contact Manager,Lookup
Look up the contact with email jane@example.com,Find a contact record using an exact email address.,"[{""email"": ""jane@example.com""}]",fluentcrm_find_contact_by_email,Contacts,agt_001_con,Contact Manager,Search
"Add a new contact: John Smith, john@acme.com, +1-555-0100",Create a new subscriber record in FluentCRM.,"[{""email"": ""john@acme.com"", ""first_name"": ""John"", ""last_name"": ""Smith"", ""phone"": ""+1-555-0100"", ""status"": ""subscribed""}]",fluentcrm_create_contact,Contacts,agt_001_con,Contact Manager,Create
Update the phone number for contact 456 to +1-555-9999,Modify specific fields on an existing contact record.,"[{""subscriberId"": 456, ""phone"": ""+1-555-9999""}]",fluentcrm_update_contact,Contacts,agt_001_con,Contact Manager,Update
Delete contact with ID 789 from the CRM,Permanently remove a subscriber record.,"[{""subscriberId"": 789}]",fluentcrm_delete_contact,Contacts,agt_001_con,Contact Manager,Delete
Show me all available tags,List every tag currently defined in FluentCRM.,"[{""page"": 1}]",fluentcrm_list_tags,Tags,agt_002_tag,Tag Manager,Lookup
Find all tags starting with "AW-",Search tags by keyword prefix.,"[{""search"": ""AW-""}]",fluentcrm_list_tags,Tags,agt_002_tag,Tag Manager,Search
Create a new tag called "hot-lead",Add a new tag to the FluentCRM tag library.,"[{""title"": ""hot-lead"", ""slug"": ""hot-lead"", ""description"": ""Contacts showing strong purchase intent""}]",fluentcrm_create_tag,Tags,agt_002_tag,Tag Manager,Create
Delete tag ID 12,Remove a tag from FluentCRM permanently.,"[{""tagId"": 12}]",fluentcrm_delete_tag,Tags,agt_002_tag,Tag Manager,Delete
Assign tags 3 and 7 to contact 101,Attach one or more tags to a specific subscriber.,"[{""subscriberId"": 101, ""tagIds"": [3, 7]}]",fluentcrm_attach_tag_to_contact,Tags,agt_002_tag,Tag Manager,Update
Remove tag 7 from contact 101,Detach a tag from a subscriber without deleting the tag.,"[{""subscriberId"": 101, ""tagIds"": [7]}]",fluentcrm_detach_tag_from_contact,Tags,agt_002_tag,Tag Manager,Update
List all contact lists in FluentCRM,Retrieve every subscriber list in the account.,[],fluentcrm_list_lists,Lists,agt_003_lst,List Manager,Lookup
"Create a new list called ""Newsletter - Q1 2026""",Add a new contact list for segmenting subscribers.,"[{""title"": ""Newsletter - Q1 2026"", ""slug"": ""newsletter-q1-2026"", ""description"": ""Q1 2026 newsletter subscribers""}]",fluentcrm_create_list,Lists,agt_003_lst,List Manager,Create
Delete list ID 5,Permanently remove a contact list.,"[{""listId"": 5}]",fluentcrm_delete_list,Lists,agt_003_lst,List Manager,Delete
Add contact 202 to lists 1 and 4,Subscribe a contact to one or more lists.,"[{""subscriberId"": 202, ""listIds"": [1, 4]}]",fluentcrm_attach_contact_to_list,Lists,agt_003_lst,List Manager,Update
Remove contact 202 from list 4,Unsubscribe a contact from a specific list.,"[{""subscriberId"": 202, ""listIds"": [4]}]",fluentcrm_detach_contact_from_list,Lists,agt_003_lst,List Manager,Update
Show all email campaigns,Retrieve the full list of email campaigns in FluentCRM.,"[{""page"": 1}]",fluentcrm_list_campaigns,Campaigns,agt_004_cmp,Campaign Manager,Lookup
Search for campaigns containing "webinar",Find campaigns by title keyword.,"[{""search"": ""webinar""}]",fluentcrm_list_campaigns,Campaigns,agt_004_cmp,Campaign Manager,Search
"Create a new campaign: ""Spring Sale"" targeting list 2",Set up a new email campaign with a subject and recipient list.,"[{""title"": ""Spring Sale"", ""subject"": ""Don't miss our Spring Sale!"", ""recipient_list"": [2]}]",fluentcrm_create_campaign,Campaigns,agt_004_cmp,Campaign Manager,Create
Pause campaign ID 33,Temporarily halt sending for an active campaign.,"[{""campaignId"": 33}]",fluentcrm_pause_campaign,Campaigns,agt_004_cmp,Campaign Manager,Update
Resume campaign ID 33,Restart a previously paused campaign.,"[{""campaignId"": 33}]",fluentcrm_resume_campaign,Campaigns,agt_004_cmp,Campaign Manager,Update
Delete campaign ID 33,Permanently remove a campaign from FluentCRM.,"[{""campaignId"": 33}]",fluentcrm_delete_campaign,Campaigns,agt_004_cmp,Campaign Manager,Delete
List all email templates,Retrieve every saved email template in the account.,[],fluentcrm_list_email_templates,Templates,agt_005_tpl,Template Manager,Lookup
Create an HTML email template called "Welcome Email",Add a new reusable email template with a subject and HTML body.,"[{""title"": ""Welcome Email"", ""subject"": ""Welcome to our community!"", ""body"": ""<h1>Welcome!</h1><p>We are glad to have you.</p>""}]",fluentcrm_create_email_template,Templates,agt_005_tpl,Template Manager,Create
Show all automation funnels,List every automation workflow configured in FluentCRM.,"[{""page"": 1}]",fluentcrm_list_automations,Automations,agt_006_aut,Automation Manager,Lookup
Search automations for "follow-up",Find automation funnels by name keyword.,"[{""search"": ""follow-up""}]",fluentcrm_list_automations,Automations,agt_006_aut,Automation Manager,Search
"Create a new automation triggered by tag_applied named ""Post-Webinar Follow-up""",Build a new automation funnel with a defined trigger type.,"[{""title"": ""Post-Webinar Follow-up"", ""trigger"": ""tag_applied"", ""description"": ""Follow up sequence after webinar tag is applied""}]",fluentcrm_create_automation,Automations,agt_006_aut,Automation Manager,Create
Show all registered webhooks,List all outbound webhooks configured in FluentCRM.,[],fluentcrm_list_webhooks,Webhooks,agt_007_wbh,Webhook Manager,Lookup
Create a webhook that fires when tag 3 is applied,Register a new webhook endpoint to receive FluentCRM events.,"[{""name"": ""Tag-3 Applied Hook"", ""url"": ""https://hooks.example.com/fluentcrm"", ""status"": ""subscribed"", ""tags"": [3]}]",fluentcrm_create_webhook,Webhooks,agt_007_wbh,Webhook Manager,Create
List all Smart Links,Retrieve all Smart Link records from FluentCRM.,"[{""page"": 1}]",fluentcrm_list_smart_links,Smart Links,agt_008_slk,Smart Link Manager,Lookup
Get details for Smart Link ID 9,Retrieve full details for a specific Smart Link.,"[{""smartLinkId"": 9}]",fluentcrm_get_smart_link,Smart Links,agt_008_slk,Smart Link Manager,Lookup
